'202', 'FirePro R5000', '用于工作站', '6.80', 'GCN 1.0', '2013', '500 USD', '150 W'
'203', 'Radeon HD 6950', '桌面', '6.76', 'TeraScale 3', '2010', '320 USD', '200 W'
'204', 'Radeon RX 550 （移动）', '用于笔记本电脑', '6.74', 'Polaris', '2017', '294 USD', '50 W'
'205', 'Radeon HD 6850 X2', '桌面', '6.51', 'TeraScale 2', '2011', '−', '254 W'
'206', 'FireStream 9370', '桌面', '6.50', 'TeraScale 2', '2010', '−', '225 W'
'207', 'Radeon PRO WX 3100', '用于移动工作站', '6.41', 'Polaris', '2017', '242 USD', '65 W'
'208', 'Radeon Pro WX 4150', '用于移动工作站', '6.27', 'Polaris', '2017', '2000 USD', '50 W'
'209', 'Radeon Pro WX 3200', '用于工作站', '6.19', 'Polaris', '2019', '740 USD', '65 W'
'210', 'Radeon RX 550X （移动）', '用于笔记本电脑', '6.13', 'Polaris', '2019', '299 USD', '50 W'
'211', 'FirePro W6150M', '用于工作站', '6.06', 'GCN 2.0', '2015', '299 USD', '−'
'212', 'Radeon R9 M470', '用于笔记本电脑', '5.99', 'GCN 2', '2016', '−', '−'
'213', 'Radeon RX Vega 6 (Ryzen 4000/5000)', '用于笔记本电脑', '5.96', 'Vega', '2020', '−', '15 W'
'214', 'Radeon HD 5970', '桌面', '5.93', 'TeraScale 2', '2009', '69 USD', '294 W'
'215', 'FirePro V7900', '用于工作站', '5.92', 'TeraScale 3', '2011', '165 USD', '150 W'
'216', 'Radeon HD 6970M', '用于笔记本电脑', '5.83', 'Terascale 2', '2011', '257 USD', '75 W'
'217', 'Radeon R7 250X', '桌面', '5.83', 'GCN 1.0', '2014', '207 USD', '80 W'
'218', 'Radeon RX 550X', '桌面', '5.76', 'GCN 4.0', '2018', '259 USD', '50 W'
'219', 'Radeon HD 6870', '桌面', '5.70', 'Terascale 2', '2010', '332 USD', '151 W'
'220', 'Radeon HD 5870', '桌面', '5.70', 'TeraScale 2', '2009', '125 USD', '188 W'
'221', 'FirePro M6100', '用于移动工作站', '5.64', 'GCN', '2013', '120 USD', '−'
'222', 'FirePro W5170M', '用于移动工作站', '5.63', 'GCN', '2015', '1530 USD', '−'
'223', 'Radeon HD 7770', '桌面', '5.58', 'GCN', '2012', '300 USD', '80 W'
'224', 'Radeon RX Vega 9', '用于笔记本电脑', '5.55', 'Vega', '2017', '302 USD', '15 W'
'225', 'Radeon R7 350', '桌面', '5.48', 'GCN 1.0', '2016', '142 USD', '55 W'
'226', 'Radeon RX Vega 11', '桌面', '5.46', 'Vega', '2017', '475 USD', '65 W'
'227', 'FirePro M5100', '用于移动工作站', '5.40', 'GCN', '2013', '105 USD', '−'
'228', 'Juniper', '桌面', '5.39', 'TeraScale 2', '−', '23 USD', '−'
'229', 'Radeon Pro W5500M', '用于工作站', '5.17', 'RDNA 1.0', '2020', '2381 USD', '85 W'
'230', 'Radeon HD 6990M', '用于笔记本电脑', '5.16', 'Terascale 2', '2011', '190 USD', '100 W'
'231', 'Radeon R9 M385X', '用于笔记本电脑', '5.12', 'GCN', '2015', '999 USD', '−'
'232', 'Radeon HD 5850', '桌面', '5.11', 'Terascale 2', '2009', '120 USD', '151 W'
'233', 'Radeon HD 6850', '桌面', '5.07', 'TeraScale 2', '2010', '177 USD', '127 W'
