排名, 显示卡, 类型, 性能, 架构, 出厂年份, 现在的价格, TDP
'827', 'Radeon HD 8550G + HD 8670M Dual Graphics', '用于笔记本电脑', '1.92', '2013', '90 USD', '−', '_'
'828', 'GeForce GT 730A', '桌面', '1.91', 'Kepler 2.0', '2014', '−', '33 W'
'829', 'UHD Graphics (Jasper Lake 32 EU)', '用于笔记本电脑', '1.90', 'Gen. 11', '2021', '−', '4.8 W'
'830', 'Mobility Radeon HD 5850', '用于笔记本电脑', '1.89', 'Terascale 2', '2010', '153 USD', '39 W'
'831', 'Radeon HD 8650G + HD 8570M Dual Graphics', '用于笔记本电脑', '1.89', '2013', '90 USD', '−', '_'
'832', 'HD Graphics 5600', '用于笔记本电脑', '1.88', 'Gen. 8 Broadwell', '2015', '121 USD', '15 W'
'833', 'Radeon HD 6670', '桌面', '1.88', 'TeraScale 2', '2011', '134 USD', '66 W'
'834', 'GRID K140Q', '用于工作站', '1.87', 'Kepler', '2013', '−', '130 W'
'835', 'GeForce 920M', '用于笔记本电脑', '1.87', 'Kepler', '2015', '895 USD', '33 W'
'836', 'Radeon HD 8730M', '用于笔记本电脑', '1.86', 'GCN', '2012', '338 USD', '−'
'837', 'Quadro K610M', '用于移动工作站', '1.86', 'Kepler', '2013', '210 USD', '30 W'
'838', 'HD Graphics 615', '用于笔记本电脑', '1.85', 'Gen. 9 Kaby Lake', '2016', '548 USD', '5 W'
'839', 'Radeon HD 8650M', '用于笔记本电脑', '1.84', 'GCN', '2013', '338 USD', '−'
'840', 'Radeon HD 6620G + HD 7670M Dual Graphics', '用于笔记本电脑', '1.83', 'Terascale 2', '2012', '90 USD', '−'
'841', 'HD Graphics 610', '用于笔记本电脑', '1.83', 'Gen. 9 Kaby Lake', '2017', '86 USD', '5 W'
'842', 'NVS 510', '用于工作站', '1.83', 'Kepler', '2012', '61 USD', '35 W'
'843', 'HD Graphics 4600', '用于笔记本电脑', '1.82', 'Gen. 7.5 Haswell', '2013', '464 USD', '20 W'
'844', 'Radeon HD 3870 X2', '桌面', '1.82', 'TeraScale', '2008', '254 USD', '165 W'
'845', 'Radeon HD 6550A', '桌面', '1.82', 'TeraScale 2', '2011', '−', '35 W'
'846', 'UHD Graphics 617', '用于笔记本电脑', '1.78', 'Gen. 9 Amber Lake', '2018', '950 USD', '15 W'
'847', 'Radeon R6 (Kaveri)', '用于笔记本电脑', '1.78', 'GCN 1.1', '2014', '−', '−'
'848', 'Iris Graphics 5100', '用于笔记本电脑', '1.76', 'Gen. 7.5 Haswell', '2013', '696 USD', '30 W'
'849', 'Radeon R5 (Carrizo)', '用于笔记本电脑', '1.76', 'GCN 1.2/2.0', '2015', '−', '12 W'
'850', 'Radeon HD 6630M', '用于笔记本电脑', '1.76', 'Terascale 2', '2011', '338 USD', '26 W'
